Question,Correct,False1,False2,False3,Difficulty
Who owns the blog called The Shade Tree Developer?,Jeremy D Miller,Scott Bellware,David Laribee,Dan North,3
What is NOT a dependency injection framework for .NET?,nDepend,Unity,StructureMap,Spring.NET,3
What is NOT a unit testing framework for .NET?,Unity,csUnit,MbUnit,xUnit.net,3
Whom are the developers of CodeRush?,Developer Express,Infragistics,JetBrains,Rushmore Code House,3
What is a language NOT running on the CLR?,Haskell,Boo,Brainf*ck,VB.NET,3
What is Oren Eini's messaging framework called?,Rhino ServiceBus,nServiceBus,MSMQ,Mass Transit,3
How many commands are there in the brainfuck programming language?,8,4,16,32,3
A problem with parity error indicates a problem with what?,memory,hard drive,I/O Controller,power supply,3
In what year did the World Wide Web Consortium release its draft of XML?,1996,1995,1994,1997,3
Which of the following Technology helps to locate the web services?,UDDI,WSDL,SOAP,XML,3
What is the term used to describe the process the Runtime uses to find an assembly?,Probing,Searching,Resolving,Locating,3
Trace switches can be set using which class?,TraceSwitch,DefaultTraceListener,TraceSwitches,Trace,3
Which tool allows you to install an assembly into the GAC?,Ngen.exe,Mscorcfg.msc,Setup.exe,sn.exe,3
ADO.NET synchronization API was introduced in what version of the .NET framework?,Version 3.5,Version 3.0,Version 1.1,Version 2.0,3
What was the original name of the C# language?,Cool,C+++,Anders-C,H++,3
When was C# 3.0 released?,November 2007,May 2007,November 2006,May 2006,3
"Who is the father of the wiki, who developed WikiWikiWeb in 1994?",Ward Cunningham,Grady Booch,Martin Fowler,Bill Gates,3
What Norwegian is known as one of the fathers of object oriented programming?,Ole-Johan Dahl,Anders Hejlsberg,Vebjørn Tandberg,Rune Grothaug,3
Ivar Jacobsen is famous for inventing what?,Use-cases,Scrum,Cowboy coding,SOA,3
"Who wrote Object-Oriented Software Construction, published in 1988?",Bertrand Meyer,Grady Booch,Scott Koon,Rockford Lhotka,3
What program language was designed by Bertrand Meyer?,Eiffel,Simula,C++,C#,3
Who created the Extreme Programming methodology?,Kent Beck,Michael Fethers,Jeremy D Miller,Udi Dahan,3
Who was NOT one of the original 17 signatories of the Agile Manifesto?,James Rumbaugh,Kent Beck,Robert C. Martin,Martin Fowler,3
Who is the owner of the scrummaster trademark?,Ken Schwaber,Michael Fethers,Bill Gates,Dan North,3
What method(s) must be used with the Application object to ensure that only one process accesses a variable at a time?,Lock(),Asynchroize(),Lock() and UnLock(),Synchronize(),2
What HTML element is the asp:Label control rendered as when the target is Internet Explorer?,<span>,<label>,<div>,<table>,2
"Given an ASP.NET Web Form called WebForm1, what class does the WebForm1 class inherit from by default?",System.Web.UI.Page,System.Web.UI.Form,System.Web.GUI.Page,System.Web.Form,2
